questions,answer,age_group
How do you usually spend your weekends?,mostly being with family working in the garden and relaxing,Gen X
How do you usually spend your weekends?,I enjoy enjoying books and working in the garden Gardening and relaxing,Gen X
How do you usually spend your weekends?,i do housework Working in the garden and relaxing,Gen X
How do you usually spend your weekends?,I enjoy reading books and taking care of garden Family time mostly,Gen X
How do you usually spend your weekends?,i enjoy reading and taking care of garden taking care of garden and relaxing,Gen X
How do you usually spend your weekends?,I enjoy reading and working in the garden Working in the garden and relaxing,Gen X
How do you usually spend your weekends?,I enjoy reading and working in the garden watching tv and resting,Gen X
How do you usually spend your weekends?,i enjoy reading books and watching news reading and taking it easy,Boomer
How do you usually spend your weekends?,I like to watch television Gardening and relaxing,Boomer
How do you usually spend your weekends?,mostly taking it easy and caring for plants working in garden and relaxing,Boomer
How do you usually spend your weekends?,Mostly taking it easy and working in garden Quiet time mostly,Boomer
How do you usually spend your weekends?,I family time and church Enjoying books and taking it easy,Boomer
How do you usually spend your weekends?,Mostly relaxing and caring for plants quiet time mostly,Boomer
How do you usually spend your weekends?,Family visits or relaxing reading and resting,Boomer
How do you usually spend your weekends?,mostly resting and working in garden quiet time mostly,Boomer
How do you usually spend your weekends?,i family time and church Family gatherings,Boomer
How do you usually spend your weekends?,i spend time with family and church Working in garden and relaxing,Boomer
How do you usually spend your weekends?,family visits or relaxing Caring for plants and relaxing,Boomer
How do you usually spend your weekends?,I spend time with family and church quiet time mostly,Boomer
How do you usually spend your weekends?,visiting relatives or relaxing reading and resting,Boomer
How do you usually spend your weekends?,Family visits or relaxing quiet time mostly,Boomer
How do you usually spend your weekends?,Visiting family or relaxing Quiet time mostly,Boomer
How do you usually spend your weekends?,i like to tv time peaceful days,Boomer
How do you usually spend your weekends?,i visiting family and church Peaceful days,Boomer
How do you usually spend your weekends?,i like to tv time Enjoying books and taking it easy,Boomer
How do you usually spend your weekends?,i visiting family and church Enjoying books and taking it easy,Boomer
How do you usually spend your weekends?,Mostly relaxing and gardening reading books and resting,Boomer
How do you usually spend your weekends?,i enjoy reading books and watching tv news peaceful days,Boomer
How do you usually spend your weekends?,i family time and church reading books and taking it easy,Boomer
How do you usually spend your weekends?,I enjoy enjoying books and news programs Gardening and relaxing,Boomer
How do you usually spend your weekends?,Mostly taking it easy and caring for plants Working in garden and relaxing,Boomer
How do you usually spend your weekends?,I enjoy reading books and watching news Family gatherings,Boomer
How do you usually spend your weekends?,I enjoy reading and watching news family gatherings,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching news Family gatherings,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching tv news peaceful days,Boomer
How do you usually spend your weekends?,i like to watch television Reading books and taking it easy,Boomer
How do you usually spend your weekends?,Visiting family or relaxing Peaceful days,Boomer
How do you usually spend your weekends?,i family time and church Peaceful days,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching news Quiet time mostly,Boomer
How do you usually spend your weekends?,mostly taking it easy and gardening Family gatherings,Boomer
How do you usually spend your weekends?,I like to tv time Gardening and relaxing,Boomer
How do you usually spend your weekends?,i like to watch tv Quiet time mostly,Boomer
How do you usually spend your weekends?,Visiting family or relaxing Gardening and relaxing,Boomer
How do you usually spend your weekends?,visiting family or relaxing Enjoying books and relaxing,Boomer
How do you usually spend your weekends?,I enjoy reading books and watching tv news reading books and taking it easy,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching news working in garden and relaxing,Boomer
How do you usually spend your weekends?,I spend time with family and church Working in garden and relaxing,Boomer
How do you usually spend your weekends?,i enjoy reading and watching tv news Family gatherings,Boomer
How do you usually spend your weekends?,i enjoy reading and watching news family gatherings,Boomer
How do you usually spend your weekends?,I like to watch television Family gatherings,Boomer
How do you usually spend your weekends?,Visiting family or relaxing quiet time mostly,Boomer
How do you usually spend your weekends?,I enjoy reading books and news programs Peaceful days,Boomer
How do you usually spend your weekends?,I enjoy reading books and watching tv news quiet time mostly,Boomer
How do you usually spend your weekends?,i like to tv time Peaceful days,Boomer
How do you usually spend your weekends?,I family time and church Enjoying books and relaxing,Boomer
How do you usually spend your weekends?,visiting relatives or relaxing enjoying books and taking it easy,Boomer
How do you usually spend your weekends?,Family visits or relaxing family gatherings,Boomer
How do you usually spend your weekends?,I enjoy enjoying books and news programs working in garden and relaxing,Boomer
How do you usually spend your weekends?,i enjoy reading books and watching tv news reading books and resting,Boomer
How do you usually spend your weekends?,i like to tv time Quiet time mostly,Boomer
How do you usually spend your weekends?,Mostly relaxing and gardening working in garden and relaxing,Boomer
How do you usually spend your weekends?,I enjoy enjoying books and news programs gardening and relaxing,Boomer
How do you usually spend your weekends?,I like to watch tv caring for plants and relaxing,Boomer
How do you usually spend your weekends?,I spend time with family and church caring for plants and relaxing,Boomer
How do you usually spend your weekends?,i enjoy reading books and news programs Enjoying books and relaxing,Boomer
How do you usually spend your weekends?,i enjoy reading books and watching news Family gatherings,Boomer
How do you usually spend your weekends?,mostly resting and working in garden Family gatherings,Boomer
How do you usually spend your weekends?,I spend time with family and church Quiet time mostly,Boomer
How do you usually spend your weekends?,family visits or relaxing quiet time mostly,Boomer
How do you usually spend your weekends?,mostly resting and caring for plants Gardening and relaxing,Boomer
How do you usually spend your weekends?,Mostly taking it easy and gardening Working in garden and relaxing,Boomer
How do you usually spend your weekends?,mostly taking it easy and gardening gardening and relaxing,Boomer
How do you usually spend your weekends?,visiting relatives or relaxing Gardening and relaxing,Boomer
How do you usually spend your weekends?,i spend time with family and church Quiet time mostly,Boomer
How do you usually spend your weekends?,Mostly relaxing and gardening quiet time mostly,Boomer
How do you usually spend your weekends?,I like to watch tv Reading books and resting,Boomer
How do you usually spend your weekends?,I enjoy reading books and news programs quiet time mostly,Boomer
How do you usually spend your weekends?,i enjoy reading and watching tv news working in garden and relaxing,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching tv news Gardening and relaxing,Boomer
How do you usually spend your weekends?,Visiting family or relaxing reading and resting,Boomer
How do you usually spend your weekends?,I like to watch television quiet time mostly,Boomer
How do you usually spend your weekends?,I spend time with family and church peaceful days,Boomer
How do you usually spend your weekends?,Visiting relatives or relaxing Reading and resting,Boomer
How do you usually spend your weekends?,i spend time with family and church Family gatherings,Boomer
How do you usually spend your weekends?,i like to watch television family gatherings,Boomer
How do you usually spend your weekends?,I family time and church reading books and taking it easy,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching tv news Working in garden and relaxing,Boomer
How do you usually spend your weekends?,mostly relaxing and working in garden quiet time mostly,Boomer
How do you usually spend your weekends?,I enjoy reading books and news programs Caring for plants and relaxing,Boomer
How do you usually spend your weekends?,i enjoy reading books and watching tv news caring for plants and relaxing,Boomer
How do you usually spend your weekends?,family visits or relaxing Family gatherings,Boomer
How do you usually spend your weekends?,I like to tv time quiet time mostly,Boomer
How do you usually spend your weekends?,I enjoy enjoying books and watching tv news reading and relaxing,Boomer
How do you usually spend your weekends?,mostly resting and working in garden Caring for plants and relaxing,Boomer
How do you usually spend your weekends?,mostly resting and working in garden Reading and resting,Boomer
How do you usually spend your weekends?,Visiting relatives or relaxing Reading books and resting,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching news Caring for plants and relaxing,Boomer
How do you usually spend your weekends?,family visits or relaxing family gatherings,Boomer
How do you usually spend your weekends?,i like to watch tv gardening and relaxing,Boomer
How do you usually spend your weekends?,I spend time with family and church Reading books and resting,Boomer
How do you usually spend your weekends?,I like to watch tv Quiet time mostly,Boomer
How do you usually spend your weekends?,I like to tv time Reading and taking it easy,Boomer
How do you usually spend your weekends?,I like to watch tv reading books and resting,Boomer
How do you usually spend your weekends?,I like to tv time Quiet time mostly,Boomer
How do you usually spend your weekends?,mostly relaxing and gardening Peaceful days,Boomer
How do you usually spend your weekends?,I family time and church family gatherings,Boomer
How do you usually spend your weekends?,i enjoy reading and news programs enjoying books and relaxing,Boomer
How do you usually spend your weekends?,I enjoy reading books and watching news caring for plants and relaxing,Boomer
How do you usually spend your weekends?,i enjoy reading and news programs family gatherings,Boomer
How do you usually spend your weekends?,Mostly relaxing and working in garden Peaceful days,Boomer
How do you usually spend your weekends?,Mostly resting and working in garden Reading and resting,Boomer
How do you usually spend your weekends?,I enjoy reading and watching tv news Enjoying books and resting,Boomer
How do you usually spend your weekends?,i enjoy reading and news programs Peaceful days,Boomer
How do you usually spend your weekends?,Visiting relatives or relaxing reading books and relaxing,Boomer
How do you usually spend your weekends?,I enjoy reading books and watching news quiet time mostly,Boomer
How do you usually spend your weekends?,I like to watch tv peaceful days,Boomer
How do you usually spend your weekends?,i enjoy reading and watching news Reading and resting,Boomer
How do you usually spend your weekends?,I enjoy enjoying books and watching tv news family gatherings,Boomer
How do you usually spend your weekends?,visiting relatives or relaxing Family gatherings,Boomer
How do you usually spend your weekends?,I like to watch television Enjoying books and resting,Boomer
How do you usually spend your weekends?,mostly taking it easy and working in garden peaceful days,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching news Reading books and resting,Boomer
How do you usually spend your weekends?,Mostly resting and gardening family gatherings,Boomer
How do you usually spend your weekends?,mostly relaxing and gardening working in garden and relaxing,Boomer
How do you usually spend your weekends?,mostly relaxing and gardening quiet time mostly,Boomer
How do you usually spend your weekends?,Family visits or relaxing Family gatherings,Boomer
How do you usually spend your weekends?,Visiting relatives or relaxing Peaceful days,Boomer
How do you usually spend your weekends?,I like to watch television family gatherings,Boomer
How do you usually spend your weekends?,i enjoy reading books and watching news Caring for plants and relaxing,Boomer
How do you usually spend your weekends?,Visiting family or relaxing reading books and resting,Boomer
How do you usually spend your weekends?,family visits or relaxing gardening and relaxing,Boomer
How do you usually spend your weekends?,I enjoy reading books and watching tv news Family gatherings,Boomer
How do you usually spend your weekends?,Mostly resting and gardening Reading and taking it easy,Boomer
How do you usually spend your weekends?,i enjoy reading books and news programs family gatherings,Boomer
How do you usually spend your weekends?,Mostly relaxing and gardening family gatherings,Boomer
How do you usually spend your weekends?,I visiting family and church quiet time mostly,Boomer
How do you usually spend your weekends?,i visiting family and church Reading books and taking it easy,Boomer
How do you usually spend your weekends?,mostly relaxing and gardening Quiet time mostly,Boomer
How do you usually spend your weekends?,I enjoy reading books and watching tv news Reading books and taking it easy,Boomer
How do you usually spend your weekends?,I enjoy reading and news programs Reading books and relaxing,Boomer
How do you usually spend your weekends?,I like to watch television reading and relaxing,Boomer
How do you usually spend your weekends?,mostly relaxing and working in garden family gatherings,Boomer
How do you usually spend your weekends?,i like to watch tv Working in garden and relaxing,Boomer
How do you usually spend your weekends?,i enjoy reading and watching news Family gatherings,Boomer
How do you usually spend your weekends?,i like to watch tv Peaceful days,Boomer
How do you usually spend your weekends?,Mostly resting and caring for plants caring for plants and relaxing,Boomer
How do you usually spend your weekends?,I enjoy enjoying books and news programs peaceful days,Boomer
How do you usually spend your weekends?,Mostly relaxing and caring for plants Family gatherings,Boomer
How do you usually spend your weekends?,i family time and church reading and resting,Boomer
How do you usually spend your weekends?,Mostly resting and working in garden family gatherings,Boomer
How do you usually spend your weekends?,Mostly resting and working in garden Peaceful days,Boomer
How do you usually spend your weekends?,I spend time with family and church reading and resting,Boomer
How do you usually spend your weekends?,mostly taking it easy and caring for plants family gatherings,Boomer
How do you usually spend your weekends?,i spend time with family and church reading and taking it easy,Boomer
How do you usually spend your weekends?,i enjoy reading and news programs Caring for plants and relaxing,Boomer
How do you usually spend your weekends?,Family visits or relaxing reading and relaxing,Boomer
How do you usually spend your weekends?,i family time and church quiet time mostly,Boomer
How do you usually spend your weekends?,Family visits or relaxing working in garden and relaxing,Boomer
How do you usually spend your weekends?,i like to tv time Family gatherings,Boomer
How do you usually spend your weekends?,Family visits or relaxing Quiet time mostly,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching tv news Peaceful days,Boomer
How do you usually spend your weekends?,I enjoy reading books and news programs working in garden and relaxing,Boomer
How do you usually spend your weekends?,I enjoy reading books and news programs Family gatherings,Boomer
How do you usually spend your weekends?,i spend time with family and church Reading and relaxing,Boomer
How do you usually spend your weekends?,Visiting family or relaxing working in garden and relaxing,Boomer
How do you usually spend your weekends?,I spend time with family and church family gatherings,Boomer
How do you usually spend your weekends?,i like to watch television Working in garden and relaxing,Boomer
How do you usually spend your weekends?,Visiting relatives or relaxing Working in garden and relaxing,Boomer
How do you usually spend your weekends?,i enjoy reading books and watching tv news Peaceful days,Boomer
How do you usually spend your weekends?,visiting family or relaxing Quiet time mostly,Boomer
How do you usually spend your weekends?,visiting relatives or relaxing working in garden and relaxing,Boomer
How do you usually spend your weekends?,I like to watch television Peaceful days,Boomer
How do you usually spend your weekends?,visiting family or relaxing peaceful days,Boomer
How do you usually spend your weekends?,I visiting family and church Gardening and relaxing,Boomer
How do you usually spend your weekends?,Visiting relatives or relaxing quiet time mostly,Boomer
How do you usually spend your weekends?,I enjoy enjoying books and watching tv news quiet time mostly,Boomer
How do you usually spend your weekends?,visiting relatives or relaxing Reading books and taking it easy,Boomer
How do you usually spend your weekends?,i enjoy reading and watching news peaceful days,Boomer
How do you usually spend your weekends?,family visits or relaxing Enjoying books and taking it easy,Boomer
How do you usually spend your weekends?,mostly relaxing and gardening Reading books and resting,Boomer
How do you usually spend your weekends?,I enjoy reading and news programs Enjoying books and relaxing,Boomer
How do you usually spend your weekends?,i spend time with family and church Gardening and relaxing,Boomer
How do you usually spend your weekends?,I family time and church quiet time mostly,Boomer
How do you usually spend your weekends?,I like to tv time Peaceful days,Boomer
How do you usually spend your weekends?,Mostly relaxing and working in garden Family gatherings,Boomer
How do you usually spend your weekends?,i like to tv time quiet time mostly,Boomer
How do you usually spend your weekends?,Mostly relaxing and caring for plants Peaceful days,Boomer
How do you usually spend your weekends?,i like to watch television Reading books and resting,Boomer
How do you usually spend your weekends?,i like to watch television quiet time mostly,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching news Working in garden and relaxing,Boomer
How do you usually spend your weekends?,family visits or relaxing Quiet time mostly,Boomer
How do you usually spend your weekends?,I enjoy reading books and watching tv news Reading and resting,Boomer
How do you usually spend your weekends?,Visiting relatives or relaxing enjoying books and resting,Boomer
How do you usually spend your weekends?,Mostly taking it easy and working in garden working in garden and relaxing,Boomer
How do you usually spend your weekends?,i visiting family and church Gardening and relaxing,Boomer
How do you usually spend your weekends?,I like to watch tv Peaceful days,Boomer
How do you usually spend your weekends?,mostly relaxing and gardening Enjoying books and taking it easy,Boomer
How do you usually spend your weekends?,mostly resting and gardening quiet time mostly,Boomer
How do you usually spend your weekends?,Mostly taking it easy and caring for plants Reading and relaxing,Boomer
How do you usually spend your weekends?,mostly resting and gardening Quiet time mostly,Boomer
How do you usually spend your weekends?,mostly relaxing and caring for plants caring for plants and relaxing,Boomer
How do you usually spend your weekends?,Family visits or relaxing Peaceful days,Boomer
How do you usually spend your weekends?,Mostly taking it easy and working in garden Enjoying books and taking it easy,Boomer
How do you usually spend your weekends?,i like to watch tv Reading and resting,Boomer
How do you usually spend your weekends?,Mostly relaxing and caring for plants Enjoying books and relaxing,Boomer
How do you usually spend your weekends?,mostly taking it easy and gardening quiet time mostly,Boomer
How do you usually spend your weekends?,i enjoy reading and watching tv news family gatherings,Boomer
How do you usually spend your weekends?,I like to tv time Working in garden and relaxing,Boomer
How do you usually spend your weekends?,I visiting family and church Quiet time mostly,Boomer
How do you usually spend your weekends?,i spend time with family and church peaceful days,Boomer
How do you usually spend your weekends?,Mostly relaxing and working in garden caring for plants and relaxing,Boomer
How do you usually spend your weekends?,i like to tv time reading books and relaxing,Boomer
How do you usually spend your weekends?,visiting family or relaxing Gardening and relaxing,Boomer
How do you usually spend your weekends?,family visits or relaxing working in garden and relaxing,Boomer
How do you usually spend your weekends?,I enjoy reading books and news programs Reading books and relaxing,Boomer
How do you usually spend your weekends?,I like to tv time family gatherings,Boomer
How do you usually spend your weekends?,mostly resting and working in garden Peaceful days,Boomer
How do you usually spend your weekends?,i spend time with family and church gardening and relaxing,Boomer
How do you usually spend your weekends?,I family time and church gardening and relaxing,Boomer
How do you usually spend your weekends?,Mostly resting and caring for plants reading books and relaxing,Boomer
How do you usually spend your weekends?,i family time and church peaceful days,Boomer
How do you usually spend your weekends?,I spend time with family and church reading books and resting,Boomer
How do you usually spend your weekends?,I visiting family and church Reading books and resting,Boomer
How do you usually spend your weekends?,I enjoy reading books and news programs Reading books and taking it easy,Boomer
How do you usually spend your weekends?,visiting family or relaxing Family gatherings,Boomer
How do you usually spend your weekends?,i like to watch television peaceful days,Boomer
How do you usually spend your weekends?,Mostly resting and working in garden peaceful days,Boomer
How do you usually spend your weekends?,i enjoy reading and watching news working in garden and relaxing,Boomer
How do you usually spend your weekends?,Visiting relatives or relaxing peaceful days,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and news programs quiet time mostly,Boomer
How do you usually spend your weekends?,family visits or relaxing peaceful days,Boomer
How do you usually spend your weekends?,i visiting family and church family gatherings,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching news peaceful days,Boomer
How do you usually spend your weekends?,mostly relaxing and caring for plants Gardening and relaxing,Boomer
How do you usually spend your weekends?,Mostly taking it easy and gardening peaceful days,Boomer
How do you usually spend your weekends?,i like to watch television Peaceful days,Boomer
How do you usually spend your weekends?,Mostly taking it easy and caring for plants Family gatherings,Boomer
How do you usually spend your weekends?,i visiting family and church enjoying books and resting,Boomer
How do you usually spend your weekends?,i enjoy reading and watching tv news Quiet time mostly,Boomer
How do you usually spend your weekends?,i enjoy reading books and news programs reading and resting,Boomer
How do you usually spend your weekends?,I family time and church Family gatherings,Boomer
How do you usually spend your weekends?,i spend time with family and church quiet time mostly,Boomer
How do you usually spend your weekends?,I spend time with family and church Peaceful days,Boomer
How do you usually spend your weekends?,Mostly relaxing and working in garden peaceful days,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching tv news family gatherings,Boomer
How do you usually spend your weekends?,I enjoy reading books and watching tv news reading books and resting,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching tv news Reading books and relaxing,Boomer
How do you usually spend your weekends?,i like to watch television Family gatherings,Boomer
How do you usually spend your weekends?,I enjoy enjoying books and watching news Peaceful days,Boomer
How do you usually spend your weekends?,Visiting relatives or relaxing family gatherings,Boomer
How do you usually spend your weekends?,i spend time with family and church working in garden and relaxing,Boomer
How do you usually spend your weekends?,family visits or relaxing Enjoying books and resting,Boomer
How do you usually spend your weekends?,I visiting family and church working in garden and relaxing,Boomer
How do you usually spend your weekends?,I enjoy reading and news programs Family gatherings,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and news programs Working in garden and relaxing,Boomer
How do you usually spend your weekends?,I visiting family and church Family gatherings,Boomer
How do you usually spend your weekends?,i like to watch television Caring for plants and relaxing,Boomer
How do you usually spend your weekends?,I enjoy enjoying books and watching tv news peaceful days,Boomer
How do you usually spend your weekends?,I enjoy enjoying books and watching news reading and relaxing,Boomer
How do you usually spend your weekends?,Mostly taking it easy and working in garden Caring for plants and relaxing,Boomer
How do you usually spend your weekends?,I family time and church Caring for plants and relaxing,Boomer
How do you usually spend your weekends?,mostly taking it easy and caring for plants Reading books and resting,Boomer
How do you usually spend your weekends?,i like to watch tv Reading books and taking it easy,Boomer
How do you usually spend your weekends?,family visits or relaxing caring for plants and relaxing,Boomer
How do you usually spend your weekends?,Mostly resting and gardening Caring for plants and relaxing,Boomer
How do you usually spend your weekends?,Mostly taking it easy and gardening Gardening and relaxing,Boomer
How do you usually spend your weekends?,I family time and church Quiet time mostly,Boomer
How do you usually spend your weekends?,i enjoy reading and news programs Family gatherings,Boomer
How do you usually spend your weekends?,I spend time with family and church Caring for plants and relaxing,Boomer
How do you usually spend your weekends?,mostly relaxing and gardening reading books and taking it easy,Boomer
How do you usually spend your weekends?,I like to tv time Family gatherings,Boomer
How do you usually spend your weekends?,Mostly taking it easy and working in garden enjoying books and taking it easy,Boomer
How do you usually spend your weekends?,I family time and church Reading books and resting,Boomer
How do you usually spend your weekends?,mostly relaxing and caring for plants reading and taking it easy,Boomer
How do you usually spend your weekends?,visiting family or relaxing Reading and resting,Boomer
How do you usually spend your weekends?,I spend time with family and church Reading and resting,Boomer
How do you usually spend your weekends?,Mostly relaxing and gardening Family gatherings,Boomer
How do you usually spend your weekends?,mostly relaxing and gardening Family gatherings,Boomer
How do you usually spend your weekends?,Visiting family or relaxing Family gatherings,Boomer
How do you usually spend your weekends?,i enjoy reading books and watching tv news family gatherings,Boomer
How do you usually spend your weekends?,mostly relaxing and gardening Reading and relaxing,Boomer
How do you usually spend your weekends?,I enjoy enjoying books and watching news peaceful days,Boomer
How do you usually spend your weekends?,Visiting relatives or relaxing Quiet time mostly,Boomer
How do you usually spend your weekends?,I like to watch television Enjoying books and taking it easy,Boomer
How do you usually spend your weekends?,Mostly taking it easy and gardening family gatherings,Boomer
How do you usually spend your weekends?,I like to watch television Enjoying books and relaxing,Boomer
How do you usually spend your weekends?,i visiting family and church Family gatherings,Boomer
How do you usually spend your weekends?,I enjoy enjoying books and watching tv news Caring for plants and relaxing,Boomer
How do you usually spend your weekends?,i like to tv time family gatherings,Boomer
How do you usually spend your weekends?,i enjoy reading and watching tv news quiet time mostly,Boomer
How do you usually spend your weekends?,i enjoy reading books and news programs gardening and relaxing,Boomer
How do you usually spend your weekends?,mostly relaxing and caring for plants quiet time mostly,Boomer
How do you usually spend your weekends?,visiting family or relaxing Peaceful days,Boomer
How do you usually spend your weekends?,mostly taking it easy and gardening family gatherings,Boomer
How do you usually spend your weekends?,Mostly taking it easy and caring for plants Reading and taking it easy,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and news programs Peaceful days,Boomer
How do you usually spend your weekends?,Visiting relatives or relaxing reading and relaxing,Boomer
How do you usually spend your weekends?,I like to watch tv family gatherings,Boomer
How do you usually spend your weekends?,I family time and church Peaceful days,Boomer
How do you usually spend your weekends?,i enjoy reading books and watching news Peaceful days,Boomer
How do you usually spend your weekends?,family visits or relaxing Peaceful days,Boomer
How do you usually spend your weekends?,mostly taking it easy and gardening peaceful days,Boomer
How do you usually spend your weekends?,visiting relatives or relaxing Quiet time mostly,Boomer
How do you usually spend your weekends?,mostly taking it easy and working in garden Gardening and relaxing,Boomer
How do you usually spend your weekends?,i spend time with family and church reading books and resting,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching tv news working in garden and relaxing,Boomer
How do you usually spend your weekends?,I enjoy reading books and news programs peaceful days,Boomer
How do you usually spend your weekends?,i enjoy reading books and watching news peaceful days,Boomer
How do you usually spend your weekends?,i like to tv time gardening and relaxing,Boomer
How do you usually spend your weekends?,I enjoy reading books and watching news Working in garden and relaxing,Boomer
How do you usually spend your weekends?,I enjoy enjoying books and watching tv news Peaceful days,Boomer
How do you usually spend your weekends?,mostly taking it easy and caring for plants Reading and resting,Boomer
How do you usually spend your weekends?,i enjoy reading books and watching news caring for plants and relaxing,Boomer
How do you usually spend your weekends?,i spend time with family and church family gatherings,Boomer
How do you usually spend your weekends?,Family visits or relaxing Gardening and relaxing,Boomer
How do you usually spend your weekends?,I family time and church working in garden and relaxing,Boomer
How do you usually spend your weekends?,i visiting family and church reading and relaxing,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching tv news Reading and resting,Boomer
How do you usually spend your weekends?,visiting family or relaxing gardening and relaxing,Boomer
How do you usually spend your weekends?,i enjoy reading books and watching tv news quiet time mostly,Boomer
How do you usually spend your weekends?,I enjoy enjoying books and news programs Peaceful days,Boomer
How do you usually spend your weekends?,Mostly relaxing and gardening peaceful days,Boomer
How do you usually spend your weekends?,Visiting relatives or relaxing Caring for plants and relaxing,Boomer
How do you usually spend your weekends?,visiting family or relaxing quiet time mostly,Boomer
How do you usually spend your weekends?,Mostly relaxing and working in garden quiet time mostly,Boomer
How do you usually spend your weekends?,Visiting family or relaxing enjoying books and relaxing,Boomer
How do you usually spend your weekends?,I like to tv time caring for plants and relaxing,Boomer
How do you usually spend your weekends?,Visiting family or relaxing family gatherings,Boomer
How do you usually spend your weekends?,I enjoy reading books and watching tv news Working in garden and relaxing,Boomer
How do you usually spend your weekends?,i enjoy reading and watching tv news reading books and taking it easy,Boomer
How do you usually spend your weekends?,i enjoy reading and watching news Working in garden and relaxing,Boomer
How do you usually spend your weekends?,mostly relaxing and caring for plants Reading books and relaxing,Boomer
How do you usually spend your weekends?,i visiting family and church working in garden and relaxing,Boomer
How do you usually spend your weekends?,Mostly resting and caring for plants enjoying books and taking it easy,Boomer
How do you usually spend your weekends?,visiting relatives or relaxing peaceful days,Boomer
How do you usually spend your weekends?,I like to watch tv Gardening and relaxing,Boomer
How do you usually spend your weekends?,Visiting family or relaxing Enjoying books and relaxing,Boomer
How do you usually spend your weekends?,I enjoy enjoying books and watching news Family gatherings,Boomer
How do you usually spend your weekends?,i like to watch tv peaceful days,Boomer
How do you usually spend your weekends?,i family time and church Working in garden and relaxing,Boomer
How do you usually spend your weekends?,i family time and church Quiet time mostly,Boomer
How do you usually spend your weekends?,i enjoy reading and news programs reading books and relaxing,Boomer
How do you usually spend your weekends?,i like to watch tv Enjoying books and resting,Boomer
How do you usually spend your weekends?,Visiting family or relaxing peaceful days,Boomer
How do you usually spend your weekends?,i visiting family and church caring for plants and relaxing,Boomer
How do you usually spend your weekends?,I spend time with family and church Family gatherings,Boomer
How do you usually spend your weekends?,Family visits or relaxing Reading and taking it easy,Boomer
How do you usually spend your weekends?,visiting family or relaxing caring for plants and relaxing,Boomer
How do you usually spend your weekends?,i like to watch tv family gatherings,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching tv news reading and resting,Boomer
How do you usually spend your weekends?,I enjoy reading and watching news Quiet time mostly,Boomer
How do you usually spend your weekends?,I spend time with family and church reading books and relaxing,Boomer
How do you usually spend your weekends?,I visiting family and church Working in garden and relaxing,Boomer
How do you usually spend your weekends?,Visiting family or relaxing gardening and relaxing,Boomer
How do you usually spend your weekends?,i enjoy reading books and watching tv news reading and taking it easy,Boomer
How do you usually spend your weekends?,I enjoy reading books and watching tv news Quiet time mostly,Boomer
How do you usually spend your weekends?,I like to watch tv Working in garden and relaxing,Boomer
How do you usually spend your weekends?,mostly resting and working in garden Enjoying books and relaxing,Boomer
How do you usually spend your weekends?,I like to tv time peaceful days,Boomer
How do you usually spend your weekends?,I like to watch television Quiet time mostly,Boomer
How do you usually spend your weekends?,i enjoy reading and watching tv news reading books and resting,Boomer
How do you usually spend your weekends?,I like to watch tv Family gatherings,Boomer
How do you usually spend your weekends?,mostly taking it easy and caring for plants peaceful days,Boomer
How do you usually spend your weekends?,i visiting family and church Reading books and relaxing,Boomer
How do you usually spend your weekends?,I like to watch television working in garden and relaxing,Boomer
How do you usually spend your weekends?,I enjoy reading and watching tv news family gatherings,Boomer
How do you usually spend your weekends?,I like to watch tv Reading books and taking it easy,Boomer
How do you usually spend your weekends?,i like to watch television Gardening and relaxing,Boomer
How do you usually spend your weekends?,I visiting family and church Reading and relaxing,Boomer
How do you usually spend your weekends?,i visiting family and church quiet time mostly,Boomer
How do you usually spend your weekends?,mostly taking it easy and working in garden quiet time mostly,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching tv news quiet time mostly,Boomer
How do you usually spend your weekends?,I visiting family and church peaceful days,Boomer
How do you usually spend your weekends?,mostly relaxing and working in garden Enjoying books and taking it easy,Boomer
How do you usually spend your weekends?,I visiting family and church Peaceful days,Boomer
How do you usually spend your weekends?,i enjoy reading books and news programs working in garden and relaxing,Boomer
How do you usually spend your weekends?,mostly relaxing and caring for plants Reading and resting,Boomer
How do you usually spend your weekends?,i enjoy enjoying books and watching news gardening and relaxing,Boomer
How do you usually spend your weekends?,visiting relatives or relaxing Caring for plants and relaxing,Boomer
How do you usually spend your weekends?,mostly resting and gardening peaceful days,Boomer
